course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,adj_penalties,adj_ob,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032,38.5,0.36,0.23,0.47,0.0268,0.7074,0.02,0.058,0.19,0.01,0.046,0.06,0.032,0.003,0.013,0.019
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003,34.6,0.41,0.4,0.36,0.0527,0.65,0.032,0.034,0.44,0.01,0.015,-0.039,0.019,-0.002,0.013,0.004
"St. Andrews Links (Old Course)",72,7247,430,184,-0.29,0.16,0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07,71.9,0.33,0.21,0.83,0.0297,0.7752,-0.066,-0.047,0.24,0.07,-0.108,-0.004,-0.348,-0.003,0.061,-0.027
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021,37,0.34,0.3,0.39,0.0264,0.6293,-0.034,0.018,0.28,0.04,-0.009,-0.073,-0.009,-0.004,-0.012,-0.029
"The Riviera Country Club",71,7245,463,191,0.59,0.09,0.13,-0.42,286.6,19.7,0.5166,-0.017,0.009,0.007,-0.029,34,0.24,0.15,0.45,0.0064,0.5555,-0.006,0.012,0.08,0.04,0.004,0.048,-0.059,-0.011,-0.035,-0.011
"Oakdale Golf &amp; Country Club",72,7231,445,188,-0.76,-0.02,0.03,-0.37,282.4,19.2,0.5556,0.004,-0.009,0.001,-0.035,29.8,0.43,0.42,0.37,0.0121,0.6374,0.017,-0.012,0.08,0,0.019,-0.054,0.036,-0.001,0.003,0.014
"TPC Twin Cities",71,7220,463,191,-1.25,-0.01,-0.01,-0.38,293,16.6,0.638,0.014,0.014,0.024,0.008,35.2,0.4,0.25,0.42,0.0721,0.7208,0.033,0.019,0.7,0.12,0.026,0.012,-0.035,0.004,0.015,0.03
"The Country Club of Jackson",72,7214,462,186,-1.57,0,-0.04,-0.31,288.5,17.9,0.5448,0.002,0.02,0.015,0.003,28.9,0.29,0.26,0.38,0.0184,0.7015,0.026,0.008,0.24,0.01,0.007,0.028,0.047,0,0,0.008
"Black Desert Resort",71,7205,467,167,-2.42,-0.09,-0.06,-0.47,301.1,20.4,0.8603,-0.015,0.001,0.045,0.128,49.4,0.49,0.2,0.43,0.1699,0.7736,0.009,0.061,0.57,0.21,-0.01,0.052,-0.018,-0.006,-0.033,-0.014
"Liberty National Golf Club",71,7201,460,190,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6609,0.008,0.019,0.015,-0.023,36.8,0.47,0.2,0.46,0.1028,0.6086,0.008,0.018,0.76,0.07,0.006,-0.016,0.053,0.005,0.015,0.008
"Glen Abbey GC",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032,31.3,0.31,0.25,0.32,0.0241,0.6294,-0.01,-0.074,0.46,0.04,0.016,0.02,-0.023,0.005,0.016,0.001
"TPC Harding Park",70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009,28.7,0.34,0.34,0.22,0.0126,0.5909,-0.03,0.007,0.11,0.06,0.004,-0.048,-0.019,0.005,0.032,-0.002
"TPC Toronto at Osprey Valley (North Course)",70,7167,462,176,-1.56,-0.05,-0.02,-0.56,299.8,17.2,0.6674,-0.001,0.035,0.048,0.076,39.2,0.4,0.32,0.51,0.0192,0.7294,0.049,0.047,0.16,0.04,0.063,0.022,-0.004,0,0.01,-0.01
"Le Golf National",71,7162,459,183,-0.68,0,0.05,-0.41,276.7,16.2,0.6226,0.013,-0.007,0.022,-0.042,30,0.42,0.28,0.52,0.0751,0.6911,0.015,0.025,0.84,0.07,0.002,-0.036,0.017,0,0.019,0.03
"Pete Dye Stadium Course",72,7158,458,187,-1.49,0.09,-0.05,-0.33,282.6,16.8,0.5965,0.009,0.035,0.005,-0.02,33.9,0.28,0.17,0.44,0.0433,0.6765,0.041,-0.017,0.74,0.13,0.039,0.069,-0.145,0.004,0.014,0.014
"Keene Trace Golf Club (Champion Trace)",72,7148,457,189,-3.19,-0.03,-0.07,-0.59,295.9,18.5,0.619,0.002,0.019,0.037,0.038,34.6,0.33,0.24,0.47,0.0447,0.7427,0.046,0.032,0.42,0.1,0.028,0.018,-0.002,0.002,0.004,0.001
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012,35.9,0.34,0.22,0.48,0.0195,0.635,-0.009,-0.004,0.38,0.02,-0.022,-0.018,-0.016,0,0.002,0.002
"Dunes Golf and Beach Club",71,7135,455,191,-1.48,0.03,-0.02,-0.47,290.5,19.2,0.5798,-0.001,0.038,0.021,-0.007,34,0.27,0.21,0.4,0.008,0.691,0.042,0.009,0.13,0,0.022,0.068,0.013,0.001,-0.005,-0.001
"TPC Sawgrass (THE PLAYERS Stadium Course)",72,7135,460,178,0.7,0.14,0.13,-0.29,282.3,18.4,0.5976,-0.005,-0.032,-0.044,-0.047,30.6,0.45,0.35,0.41,0.0573,0.6244,-0.067,-0.028,0.73,0.09,-0.025,-0.059,-0.041,0,-0.003,-0.014
"TPC Deere Run",71,7133,456,187,-1.83,-0.04,-0.05,-0.39,291.7,18.2,0.6907,0.012,-0.009,0.026,0.046,37.9,0.4,0.4,0.37,0.0264,0.7228,0.025,0.027,0.26,0.01,-0.019,-0.01,0.019,0.004,0.025,0.014
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059,59.9,0.38,0.21,0.45,0.0427,0.7615,0.027,0.048,0.14,0.02,-0.012,0.026,-0.023,-0.003,-0.011,0.005
"The Renaissance Club",70,7113,479,178,0.2,0.06,0.09,-0.33,295,20.3,0.5171,-0.016,0.067,0.008,-0.008,32.2,0.29,0.22,0.59,0.0082,0.6499,-0.009,0.015,0.05,0.02,0.066,0.094,-0.04,-0.024,-0.033,0.013
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029,36.6,0.34,0.25,0.5,0.0461,0.6983,0.034,0.052,0.24,0.07,0.031,-0.006,-0.025,0.004,0.002,0.008
"Memorial Park Golf Course",70,7106,480,177,0.31,0.07,0.08,-0.27,293.2,16.7,0.5588,-0.002,-0.014,0.004,0.011,32.3,0.26,0.22,0.35,0.0218,0.6342,-0.011,0.011,0.34,0.02,-0.03,0.006,0.033,0,-0.009,0.003
"The Philadelphia Cricket Club (Wissahickon Course)",70,7103,456,179,-0.31,0.06,0.02,-0.41,296.1,19.8,0.5566,-0.011,-0.001,0.037,0.017,35.4,0.28,0.23,0.42,0.005,0.7178,0.043,0.031,0.09,0.03,0.026,-0.009,-0.011,-0.003,-0.019,-0.017
"TPC Southwind",70,7097,457,176,0.12,0.04,0.06,-0.4,290.7,17.3,0.5636,0.01,0.009,-0.012,-0.004,29.3,0.44,0.37,0.43,0.0421,0.5984,0.002,-0.02,0.67,0.06,0.008,-0.014,0.032,0.003,0.021,0.01
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.6688,-0.006,0.03,0.058,0.037,37.5,0.36,0.34,0.45,0.0136,0.7379,0.093,0.041,0.19,0.03,-0.029,0.064,0.091,0.001,-0.008,-0.017
"Silverado Resort (North Course)",72,7094,452,190,-0.96,0.08,0,-0.32,287.8,21.2,0.5084,-0.005,-0.017,-0.003,-0.012,26.3,0.33,0.26,0.44,0.0181,0.6872,0.002,-0.006,0.17,0.08,-0.018,-0.027,-0.002,-0.001,-0.009,-0.007
"PGA National Resort (The Champion - Par 71)",71,7082,452,186,-1.26,0.11,-0.01,-0.55,282.7,16.2,0.6109,0.012,0.045,-0.003,-0.025,30.6,0.32,0.2,0.38,0.0451,0.7009,0.025,-0.018,0.6,0.04,0.049,0.071,0.025,0.004,0.025,0.016
"Innisbrook Resort (Copperhead Course)",71,7082,469,198,0.7,0.12,0.12,-0.23,277.3,17.2,0.5655,-0.003,0.02,-0.025,-0.067,27.7,0.35,0.24,0.52,0.0223,0.5699,-0.03,-0.023,0.19,0.02,0.032,0.017,0.006,0,-0.011,-0.004
"TPC Summerlin",71,7073,450,191,-1.49,0.05,-0.03,-0.46,299.9,20,0.6094,0.005,-0.048,0.013,0.053,34.5,0.38,0.32,0.47,0.0215,0.7238,0.004,0.019,0.38,0.04,-0.056,-0.037,-0.037,0.002,0.01,0.005
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.7,18.1,0.5972,0.003,-0.014,0,-0.038,31.4,0.47,0.31,0.57,0.0676,0.614,0.01,-0.003,0.52,0.06,0.024,-0.029,-0.061,0.003,0.005,0.004
"Royal Montreal GC (Blue)",70,7050,453,178,-0.32,-0.01,0.04,-0.37,280.5,17.2,0.6313,0.005,0.054,0.005,-0.005,34.1,0.31,0.24,0.4,0.0408,0.6167,0.011,0.002,0.22,0,0.019,0.056,0.087,-0.002,0.013,0.01
"Aronimink GC",70,7036,446,199,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.6825,0.01,-0.014,0.042,0.035,39.7,0.32,0.26,0.33,0.0044,0.7424,0.017,0.063,0.11,0.02,-0.029,-0.027,0.027,0.004,0.026,0.008
"ACCORDIA GOLF Narashino Country Club",70,7032,476,169,-1.28,-0.12,0.04,-0.35,287,18.1,0.5476,0.013,0.001,0.055,-0.014,30,0.36,0.33,0.43,0.0306,0.6979,0.038,0.066,0.26,0.03,-0.037,0.016,0.018,-0.008,0.051,0.011
"Spyglass Hill Golf Course",72,7032,453,172,-1.27,-0.04,0.03,-0.36,283.1,15.7,0.5615,-0.015,0.078,-0.027,-0.019,23.9,0.33,0.2,0.45,0.0149,0.6578,0,-0.047,0.2,0.05,0.051,0.108,0.014,-0.006,-0.022,-0.024
"Waialae Country Club",70,7023,449,185,-1.23,0.04,-0.01,-0.65,291.5,21.1,0.5654,0.003,0.037,0.032,0.013,35,0.31,0.28,0.26,0.036,0.6956,0.042,0.027,0.24,0.05,0.034,0.025,0.045,0,0.005,0.006
"Hurstbourne Country Club",70,7022,445,200,0.24,0.14,0.04,-0.4,299.8,24,0.5591,0.006,-0.023,-0.039,0.041,36.5,0.47,0.43,0.44,0.0329,0.626,-0.037,-0.04,0.35,0.07,0.036,-0.062,-0.057,0.003,0.004,0.013
"PGA National Resort (The Champion)",70,7020,448,187,1.41,0.19,0.11,-0.35,277.1,16.3,0.6025,0.004,0.019,-0.054,-0.041,29.5,0.34,0.24,0.37,0.0451,0.5985,-0.021,-0.07,0.73,0.06,-0.001,0.064,0.016,-0.001,0.006,0.01
"Colonial Country Club",70,7014,446,193,0.62,0.08,0.06,-0.23,282.3,19.5,0.5512,0.004,0.029,-0.017,-0.044,28,0.36,0.35,0.34,0.0171,0.612,-0.031,-0.007,0.3,0.02,0.005,0.037,0.045,0.002,0.004,0.006
"St. George's G&amp;CC",70,7006,464,196,0.3,0.04,0.11,-0.34,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019,31.3,0.45,0.43,0.64,0.0162,0.6171,-0.017,-0.009,0.08,0.03,0.012,-0.033,-0.074,-0.004,-0.024,0.004
"Pebble Beach Golf Links (U.S. Open)",71,7003,450,176,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,-0.001,-0.048,-0.047,-0.048,34.9,0.42,0.34,0.49,0.0395,0.5595,-0.04,-0.052,0.36,0.09,-0.006,-0.073,-0.046,0.004,0.001,-0.014
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.5999,0.005,0.005,0.011,0.012,30.4,0.31,0.26,0.38,0.0321,0.6321,0.013,0.01,0.38,0.07,0.013,0.013,-0.047,0.004,0.008,0.005
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034,35.9,0.57,0.47,0.7,0.0632,0.6761,0.029,0,0.48,0.11,0.034,0.008,0.008,0.008,0.041,0.012
"Harbour Town Golf Links",71,6980,446,184,-0.21,0.12,0.03,-0.35,276.2,19.3,0.617,0,0.043,-0.026,-0.052,32.5,0.26,0.14,0.35,0.0336,0.601,0.007,-0.043,0.47,0.09,0.037,0.078,0.011,0.001,-0.007,0.004
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0,-0.006,0.016,-0.014,30.2,0.36,0.27,0.36,0.0608,0.6267,0.001,0.025,0.41,0.07,-0.026,0.026,0.035,-0.005,-0.001,0.011
"Sedgefield Country Club",70,6958,442,192,-1.15,-0.02,0,-0.56,286.1,18.4,0.6201,-0.009,-0.037,0.069,0.021,29.5,0.42,0.33,0.67,0.0476,0.7347,0.057,0.076,0.28,0.13,-0.036,-0.071,0.026,0.002,-0.016,-0.021
"Hamilton Golf &amp; Country Club",70,6925,437,204,-0.3,0.1,0.02,-0.46,289.7,17.8,0.5562,-0.01,0.002,0.009,0.006,33.2,0.4,0.33,0.55,0.0193,0.667,0.006,0.011,0.09,0.01,-0.003,-0.029,0.039,-0.005,-0.021,-0.011
"Austin Country Club",71,6899,449,179,-2.09,0,-0.07,-0.52,300.8,21.4,0.5859,0.005,0.016,0.012,0.035,33.3,0.29,0.16,0.37,0.0518,0.7087,0,0.021,0.59,0.06,0.013,0.024,0.011,0.002,0.018,-0.001
"Pebble Beach Golf Links",72,6888,443,170,-0.66,0.06,0.03,-0.29,272.7,17.9,0.6882,-0.015,0.029,-0.041,-0.027,40.5,0.32,0.16,0.41,0.0487,0.6558,-0.032,-0.048,0.35,0.09,0.04,0.051,-0.022,-0.011,-0.036,-0.004
"Sea Island Golf Club (Seaside Course)",70,6880,436,195,-1.11,0,-0.02,-0.42,280.7,15.8,0.705,0.005,0.026,0.023,-0.005,42.3,0.39,0.17,0.39,0.1035,0.7416,0.011,0.03,0.45,0.06,0.016,0.048,0.054,0.003,0.011,0.003
"PGA West (Palmer)",72,6844,460,173,-1.98,0.03,0.05,-0.51,277.8,15,0.6311,-0.001,0.045,-0.021,-0.012,34.9,0.28,0.14,0.4,0.0827,0.6639,0.006,-0.035,0.75,0.13,0.025,0.081,-0.016,0,-0.004,0.002
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.013,-0.036,-0.014,-0.015,32.9,0.4,0.34,0.54,0.0114,0.6434,-0.022,-0.007,0.3,0.08,-0.018,-0.056,-0.05,-0.001,-0.03,-0.017
"TPC River Highlands",70,6800,432,188,-0.53,0.02,0,-0.29,284.5,19,0.6454,0.002,-0.057,0.014,-0.005,37,0.43,0.31,0.36,0.0743,0.6899,0.003,0.022,0.48,0.08,-0.065,-0.055,-0.033,0.002,0.001,0.003
